,username,follower,username_raw
362,@Typhoon_Girl,False,Typhoon_Girl
363,@alexlorestani,False,alexlorestani
364,@auroberjo,False,auroberjo
365,@robpetrozzo,True,robpetrozzo
366,@taillogs,False,taillogs
367,@jamestodd,False,jamestodd
368,@BillSeitz,False,BillSeitz
369,@Saberbsayadi,True,Saberbsayadi
370,@mannsergey,False,mannsergey
371,@brettfarrow,True,brettfarrow
372,@yashrajx,True,yashrajx
373,@PedroPe41875782,False,PedroPe41875782
374,@TheDeductivist,False,TheDeductivist
375,@lonewanderin,True,lonewanderin
376,@jimbudweisser,False,jimbudweisser
377,@parkerhendo,False,parkerhendo
378,@Sai_KiranGoud,False,Sai_KiranGoud
379,@guy_levin,False,guy_levin
380,@BrasEmDen,False,BrasEmDen
381,@ArmchairGMLos,False,ArmchairGMLos
382,@realRajathBhat,True,realRajathBhat
383,@DevangMstryls,True,DevangMstryls
384,@JasonLeeKnox,False,JasonLeeKnox
385,@mohikandan,False,mohikandan
386,@levipeniche,True,levipeniche
387,@WitnezMe,True,WitnezMe
388,@manojsurya3110,False,manojsurya3110
389,@amrith,False,amrith
390,@JoshuaMisir_KW,False,JoshuaMisir_KW
391,@mattimorecronin,False,mattimorecronin
392,@WarcMeinstein,False,WarcMeinstein
393,@ryan_w,True,ryan_w
394,@muzkmuzkmuzk,False,muzkmuzkmuzk
395,@camerondurham,False,camerondurham
396,@chudibruno,False,chudibruno
397,@nickarner,False,nickarner
398,@letkma,False,letkma
399,@km,False,km
400,@afahad,True,afahad
401,@Co2n2r,False,Co2n2r
402,@alder_riley,False,alder_riley
403,@danielpearson,True,danielpearson
404,@BJColley,False,BJColley
405,@tqjohnst,False,tqjohnst
406,@coyotespike,False,coyotespike
407,@ball_eric,False,ball_eric
408,@sudogene,False,sudogene
409,@rhettweller,True,rhettweller
410,@_theapologist,True,_theapologist
411,@Prigoose,False,Prigoose
412,@schwalld,True,schwalld
413,@walkerdavide,True,walkerdavide
414,@TayTayTrey,True,TayTayTrey
415,@gOkEspark,True,gOkEspark
416,@equitytranche,True,equitytranche
417,@Leann_Abad,True,Leann_Abad
418,@gteather,True,gteather
419,@Tay_Murph,True,Tay_Murph
420,@willemissa,True,willemissa
421,@matt_c_sullivan,False,matt_c_sullivan
422,@ASpittel,False,ASpittel
423,@egins_obot5,True,egins_obot5
424,@BobMain49,True,BobMain49
425,@wes_westerson,False,wes_westerson
426,@ImBmills,True,ImBmills
427,@erikkim,False,erikkim
428,@coolinmc6,False,coolinmc6
429,@seanacres,False,seanacres
430,@ANTI_SOLOMON,False,ANTI_SOLOMON
431,@_kathrynmadden,False,_kathrynmadden
432,@dbrown44,False,dbrown44
433,@fred_dunlop,True,fred_dunlop
434,@brentmayberry,True,brentmayberry
435,@fredzannarbor,True,fredzannarbor
436,@SBrownBourne,False,SBrownBourne
437,@o0ignition0o,False,o0ignition0o
438,@_ebenezerdon,True,_ebenezerdon
439,@Sage_Godspeed,False,Sage_Godspeed
440,@TheLexTimes,False,TheLexTimes
441,@benoror,True,benoror
442,@Karthikness,True,Karthikness
443,@aguynamedben,False,aguynamedben
444,@DivyanshGolyan,False,DivyanshGolyan
445,@MatjazLeonardis,False,MatjazLeonardis
446,@uriahz,False,uriahz
447,@tweetanush,False,tweetanush
448,@dpatil,False,dpatil
449,@davegoldblatt,False,davegoldblatt
450,@istalev,True,istalev
451,@dhruvtruth,False,dhruvtruth
452,@rfradin,False,rfradin
453,@dejay_official,False,dejay_official
454,@BenIRL1,False,BenIRL1
455,@SumeetMa,False,SumeetMa
456,@mehtadata_,True,mehtadata_
457,@KatieS,False,KatieS
458,@chalcidfly,False,chalcidfly
459,@misbahspeaks,False,misbahspeaks
460,@jordankelley,False,jordankelley
461,@davidu,False,davidu
462,@rsg,False,rsg
463,@Ahimsa_Satya_,False,Ahimsa_Satya_
464,@CTsatra,False,CTsatra
465,@justmacro,False,justmacro
466,@manuelhe,False,manuelhe
467,@JohnSigmon,True,JohnSigmon
468,@SimphiweMsibi,False,SimphiweMsibi
469,@BrandenWorld,False,BrandenWorld
470,@wires_wires,False,wires_wires
471,@clasicolibtardo,False,clasicolibtardo
472,@arpanpunyani,False,arpanpunyani
473,@JoanManuelG25,True,JoanManuelG25
474,@Aleksa_C_,True,Aleksa_C_
475,@joshtetler,True,joshtetler
476,@LabaDima,False,LabaDima
477,@EliCourtwright,False,EliCourtwright
478,@nishparadox,False,nishparadox
479,@arora_manuel,False,arora_manuel
480,@Nicolas_Colin,False,Nicolas_Colin
481,@MatiasEduardoPR,False,MatiasEduardoPR
482,@ViviYo1,False,ViviYo1
483,@theprantik,True,theprantik
484,@Allan,False,Allan
485,@JPrendergass,False,JPrendergass
486,@_adeel,False,_adeel
487,@kastauyra,False,kastauyra
488,@mm_leland,True,mm_leland
489,@ronblandford,True,ronblandford
490,@holdenbrad,False,holdenbrad
491,@verygreatlake,False,verygreatlake
492,@TheWizardTower,False,TheWizardTower
493,@TimdenEngelsen,False,TimdenEngelsen
494,@kkorupolu,True,kkorupolu
495,@KadynKingston,False,KadynKingston
496,@PapricusMaximus,True,PapricusMaximus
497,@kurtthayer,False,kurtthayer
498,@apoorv_bh89,False,apoorv_bh89
499,@CharmingGrump,False,CharmingGrump
500,@JAVIERA15499823,False,JAVIERA15499823
501,@gl_citizen,True,gl_citizen
502,@dames1374,False,dames1374
503,@thethriftygene,False,thethriftygene
504,@seehafer,False,seehafer
505,@Ljameswilliams,False,Ljameswilliams
506,@s_sreekanth2000,False,s_sreekanth2000
507,@yougoshelcoco,False,yougoshelcoco
508,@Ces1248,False,Ces1248
509,@foster_nz,False,foster_nz
510,@melo07son,False,melo07son
511,@JoshSchoen,False,JoshSchoen
512,@wxmn,False,wxmn
513,@upshot_llama,False,upshot_llama
514,@AlbertoRodJr,False,AlbertoRodJr
515,@ksn_qn,False,ksn_qn
516,@IDryer,True,IDryer
517,@FranHooley,True,FranHooley
518,@AmosOketch,True,AmosOketch
519,@Coder26237717,True,Coder26237717
520,@iRunestone,False,iRunestone
521,@SteveBreker,False,SteveBreker
522,@plaidika,True,plaidika
523,@plantscience2,False,plantscience2
524,@LeeGainer,False,LeeGainer
525,@samuelKayode_,True,samuelKayode_
526,@marchworks,True,marchworks
527,@Talvoti,False,Talvoti
528,@jalbam1984,True,jalbam1984
529,@rahulvohra,False,rahulvohra
530,@adubiousmuse,True,adubiousmuse
531,@ConnerSimonsen,False,ConnerSimonsen
532,@_zachnewsom,True,_zachnewsom
533,@lastmjs,False,lastmjs
534,@michelecynowicz,False,michelecynowicz
535,@gilcreque,True,gilcreque
536,@HarryStebbings,False,HarryStebbings
537,@sodevious,False,sodevious
538,@kurtgrela,True,kurtgrela
539,@digitaljamie101,False,digitaljamie101
540,@mariahhay,False,mariahhay
541,@Tracy_Keogh,True,Tracy_Keogh
542,@saulo_aguiar,False,saulo_aguiar
543,@davidmeh,False,davidmeh
544,@nikkilr88,False,nikkilr88
545,@BrityHemming,False,BrityHemming
546,@bmkaufmann,False,bmkaufmann
547,@asglidden,False,asglidden
548,@hoover1919,False,hoover1919
549,@zachychan6,True,zachychan6
550,@Treybama,True,Treybama
551,@the_chrisgee,True,the_chrisgee
552,@RedEspressoIced,False,RedEspressoIced
553,@KimberleyMRosen,False,KimberleyMRosen
554,@crabapple99,True,crabapple99
555,@gwmccull,False,gwmccull
556,@MsMadelineMac,False,MsMadelineMac
557,@ColinBrauns,False,ColinBrauns
558,@dreyp11,False,dreyp11
559,@JeremyEnglert,False,JeremyEnglert
560,@ZChezT,False,ZChezT
561,@liltechnomancer,True,liltechnomancer
562,@DanLaufer,True,DanLaufer
563,@lizwessel,False,lizwessel
564,@bettytly,True,bettytly
565,@stephenolmon,True,stephenolmon
566,@AndrewDixonSo,False,AndrewDixonSo
567,@cruxcoder,False,cruxcoder
568,@mellisawaltzer,False,mellisawaltzer
569,@zweidancer,True,zweidancer
570,@MYamaguchi34,True,MYamaguchi34
571,@Alfredo_Delgado,True,Alfredo_Delgado
572,@kbyebea,False,kbyebea
573,@Mohamed3on,False,Mohamed3on
574,@RutaB_,False,RutaB_
575,@Monitor_2187,False,Monitor_2187
576,@adeluise,False,adeluise
577,@ndneighbor,False,ndneighbor
578,@linnifred,False,linnifred
579,@karaluton,False,karaluton
580,@crwhitesides,False,crwhitesides
581,@mellowbeing,False,mellowbeing
582,@JesseRWeigel,False,JesseRWeigel
583,@kboher,False,kboher
584,@josephjconnor,True,josephjconnor
585,@kato_katherine,False,kato_katherine
586,@matthras,False,matthras
587,@NoahBres,False,NoahBres
588,@jnschrag,True,jnschrag
589,@yechielk,False,yechielk
590,@theanthonyware,False,theanthonyware
591,@maxcell,True,maxcell
592,@Rahmeljackson,False,Rahmeljackson
593,@chrisbloom7,True,chrisbloom7
594,@am_pra_veen,False,am_pra_veen
595,@DianeCodedIt,False,DianeCodedIt
596,@d3chua,False,d3chua
597,@_Suthen,True,_Suthen
598,@ateschel,False,ateschel
599,@jennykaehms,False,jennykaehms
600,@mohouyizme,False,mohouyizme
601,@Codingmamakaz,False,Codingmamakaz
602,@lexilewtan,False,lexilewtan
603,@alexandratbryan,True,alexandratbryan
604,@toetoroe,False,toetoroe
605,@FoolMCochrane,False,FoolMCochrane
606,@its_ashworks,False,its_ashworks
607,@Wolf_Kola,False,Wolf_Kola
608,@iNothingman,True,iNothingman
609,@chiefresponsbly,False,chiefresponsbly
610,@amoghavs,True,amoghavs
611,@Emmoemm,True,Emmoemm
612,@jfwilson,False,jfwilson
613,@venikunche,False,venikunche
614,@nick_malham,False,nick_malham
615,@bchristlieb21,False,bchristlieb21
616,@JosephOnions,False,JosephOnions
617,@omarajame,True,omarajame
618,@hosteltranquilo,False,hosteltranquilo
619,@kaufman_jack,True,kaufman_jack
620,@mattparlmer,True,mattparlmer
621,@darushiarchana,False,darushiarchana
622,@hafeezmhd,False,hafeezmhd
623,@goncaloduarte12,True,goncaloduarte12
624,@arkinrd,False,arkinrd
625,@billiamweard,False,billiamweard
626,@arjita_sethi,False,arjita_sethi
627,@ajgdennison,True,ajgdennison
628,@cfkindia,False,cfkindia
629,@_milalay,True,_milalay
630,@keskkyla,True,keskkyla
631,@jasonhargrove,False,jasonhargrove
632,@NathanWailes,False,NathanWailes
633,@varadhjain,False,varadhjain
634,@paymonfarazi,True,paymonfarazi
635,@akshaybuddiga,False,akshaybuddiga
636,@LucksGeoff,False,LucksGeoff
637,@cliffstyles,False,cliffstyles
638,@gunnartopia,False,gunnartopia
639,@Timber_Schroff,False,Timber_Schroff
640,@searchlight5,False,searchlight5
641,@maxrogo,True,maxrogo
642,@ArneStrawe,False,ArneStrawe
643,@tanmay_who,False,tanmay_who
644,@stirredstrained,False,stirredstrained
645,@LandonTalarico,False,LandonTalarico
646,@Cherish_vic,True,Cherish_vic
647,@zachsnader,True,zachsnader
648,@KumailWasif,False,KumailWasif
649,@r_gustav,True,r_gustav
